taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8969897	Scythris potgieteri Bengtsson, 2014	8969897	Scythris potgieteri Bengtsson, 2014	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Scythrididae	8866	Scythris	1841529	Scythris potgieteri	8969897	NE
9083612	Isturgia dissocia Warren, 1897	6118530	Isturgia deerraria (Walker, 1861)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Isturgia	1987555	Isturgia deerraria	6118530	NE
9163107	Metachrostis thermosticta (Hampson, 1910)	1797984	Eublemma thermosticta Hampson, 1910	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Eublemma	9118632	Eublemma thermosticta	1797984	NE
9968477	BOLD:ABZ2648	9968477	BOLD:ABZ2648	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nolidae	9717	Meganola	4405493			
9972467	BOLD:ACQ2184	9972467	BOLD:ACQ2184	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Crudaria	1926814	Crudaria capensis	1926815	
10102157	BOLD:ABW0805	10102157	BOLD:ABW0805	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Scythrididae	8866	Scythris	1841529	Scythris rivigera	1841799	
10144276	BOLD:ABW1081	10144276	BOLD:ABW1081	8	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Plutellidae	8860					
10193970	BOLD:ACS7687	10193970	BOLD:ACS7687	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Scythrididae	8866					
10248654	BOLD:ABW0963	10248654	BOLD:ABW0963	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tineidae	9412					
10261374	BOLD:AAX8781	10261374	BOLD:AAX8781	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Dira	1892917	Dira clytus	5127822	
10388149	BOLD:ACL5049	10388149	BOLD:ACL5049	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Oecophoridae	9689					
10411418	BOLD:ABX0734	10411418	BOLD:ABX0734	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Dysgonia	1798478	Dysgonia properans	6115279	
10418908	BOLD:ADU2037	10418908	BOLD:ADU2037	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797							
10527249	BOLD:ABA2044	10527249	BOLD:ABA2044	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797							
10565880	BOLD:ABV9572	10565880	BOLD:ABV9572	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797							
11434007	BOLD:ADY8041	11434007	BOLD:ADY8041	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343					
11472356	Junonia coelestina (Dewitz, 1879)	11472356	Junonia coelestina (Dewitz, 1879)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Junonia	1901885	Junonia coelestina	11472356	NE
11590779	BOLD:ADY8221	11590779	BOLD:ADY8221	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nepticulidae	7014					
11700446	BOLD:ADY7983	11700446	BOLD:ADY7983	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797							
11756277	Lysceia kubusensis Krüger, 2017	11756277	Lysceia kubusensis Krüger, 2017	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Lysceia	9187632	Lysceia kubusensis	11756277	NE
11806137	BOLD:ADU3811	11806137	BOLD:ADU3811	12	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lyonetiidae	9410					
1733687	Streblote cristata (Stoll, 1782)	1733687	Streblote cristata (Stoll, 1782)	68	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lasiocampidae	3530	Streblote	1733670	Streblote cristata	1733687	NE
1743367	Eugnosta feriata (Meyrick, 1913)	1743367	Eugnosta feriata (Meyrick, 1913)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Eugnosta	1743343	Eugnosta feriata	1743367	NE
1758038	Gymnogramma Zeller, 1852	1758038	Gymnogramma Zeller, 1852	8	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lacturidae	3529	Gymnogramma	1758038			
1814727	Acantharctia latifasciata Hampson, 1909	1814727	Acantharctia latifasciata Hampson, 1909	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Acantharctia	8968681	Acantharctia latifasciata	1814727	NE
1846272	Furcaphora caelata (Meyrick, 1913)	1846272	Furcaphora caelata (Meyrick, 1913)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Furcaphora	1846271	Furcaphora caelata	1846272	NE
1855366	Ocnophilella autocrypta (Meyrick, 1926)	1855366	Ocnophilella autocrypta (Meyrick, 1926)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tineidae	9412	Ocnophilella	1855364	Ocnophilella autocrypta	1855366	NE
1861114	Ceromitia wahlbergi Zeller, 1852	1861114	Ceromitia wahlbergi Zeller, 1852	36	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Adelidae	4538	Ceromitia	1861053	Ceromitia wahlbergi	1861114	NE
1861143	Ceromitia vansoni Janse, 1945	1861143	Ceromitia vansoni Janse, 1945	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Adelidae	4538	Ceromitia	1861053	Ceromitia vansoni	1861143	NE
1861795	Pseudandriasa mutata Walker, 1855	1861795	Pseudandriasa mutata Walker, 1855	30	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Sphingidae	8868	Pseudandriasa	1861793	Pseudandriasa mutata	1861795	NE
